facility,id,lat,lon,year,month,cases,population,time
Chinthembwe_Health_Centre,QZm8o1i8tW4,-13.43326,33.97527,2025,1,624.0,16.953840255737305,2025-01
Chinyama_Dispensary,dCOqnRxMAXD,-12.978284,33.8058694,2025,1,1277.0,0.0029539999086409807,2025-01
Chinyama_Health_Centre,TxWRIMbBOpS,-16.15665,35.34094,2025,1,2634.0,27.14096450805664,2025-01
Chiole_Dispensary,jnrlLIULfCR,-14.79743,34.64265,2025,1,39.0,2.9569079875946045,2025-01
Chioshya_Health_Centre,RNuiMEnAfC1,-13.795993,33.175152,2025,1,3057.0,70.38059997558594,2025-01
Chipande_Health_Centre,PD8A1WLrQdo,-15.66774,35.09414,2025,1,0.0,6.3122429847717285,2025-01
Chipho_Health_Centre,xJQqTtpdsHP,-16.171528,35.110222,2025,1,569.0,43.34203338623047,2025-01
Chipini_Health_Centre,imXmafCgb5n,-15.39007,35.09531,2025,1,99.0,25.066139221191406,2025-01
Chipoka_Health_Centre,wrDImy8FHpR,-13.98973,34.51545,2025,1,2589.0,26.748064041137695,2025-01
Chiponde_Dispensary_(Mangochi),VphQvehsaVR,-14.37341,35.6017,2025,1,369.0,49.14609146118164,2025-01
Chipumi_Health_Centre,eNs19G9xMyc,-13.625294,33.081532,2025,1,2925.0,50.333709716796875,2025-01
Chipwaila_Health_Centre,pkMXL4XF9ie,-16.39842,34.77572,2025,1,1239.0,23.858978271484375,2025-01
Chipwanya_St_Josephs_Health_Centre,WiVCsIgUw2D,-14.07547,34.2536,2025,1,674.0,1.0,2025-01
Chiradzulu_District_Hospital,lsrGqZfICKm,-15.71072,35.17419,2025,1,2624.0,44.36787414550781,2025-01
Chirimba_Health_Centre,tDldFfYwnS1,-15.746368,35.022984,2025,1,233.0,105.16148376464844,2025-01
Chiringa_Health_Centre_(CHAM),pmteRCqzbeC,-15.76583,35.76216,2025,1,81.0,34.13587188720703,2025-01
Chiringa_Maternity,sqMFC2sNuGZ,-15.77213,35.76965,2025,1,23.0,53.50382995605469,2025-01
Chisala_Health_Centre,QX85XzKEJjg,-11.57458,34.12201,2025,1,798.0,14.061241149902344,2025-01
Chisamba_Health_Centre,u4rZsnqp9bD,-13.784275,34.400132,2025,1,599.0,16.577348709106445,2025-01
Chisansu_Health_Centre,u57H3XRjoRa,-9.730938,33.454279,2025,1,321.0,4.298891067504883,2025-01
